feature,impurity_importance,permutation_importance_mean,permutation_importance_std,importance_percent,impurity_rank,permutation_rank,average_rank,importance_direction
oldpeak,0.05278851455091657,0.0011428571428571434,0.00251255351586151,8.3333,7.0,4.0,5.5,positive_or_neutral
exang_1,0.03277356640850523,0.000666666666666671,0.004437522955132095,4.8611,10.0,5.0,7.5,positive_or_neutral
chol_age_ratio,0.016403015996308067,0.0020952380952381,0.0017969487870584048,15.2778,13.0,3.0,8.0,positive_or_neutral
exang_0,0.035892052795093346,1.3877787807814458e-18,0.004780914437337576,0.0,9.0,8.0,8.5,positive_or_neutral
slope_2,0.16740004659972982,-0.0037142857142857103,0.006388055747708195,0.0,1.0,18.0,9.5,negative_or_unstable
ca_2,0.008916249997645525,0.005333333333333338,0.0043267873110859265,38.8889,19.0,1.0,10.0,positive_or_neutral
thal_3,0.09174878443560866,-0.003523809523809518,0.00660584500337518,0.0,4.0,17.0,10.5,negative_or_unstable
thal_2,0.143969621567225,-0.0038095238095238056,0.00583988941590701,0.0,2.0,19.0,10.5,negative_or_unstable
ca_1,0.008911867476511676,0.003428571428571436,0.004765712763122593,25.0,20.0,2.0,11.0,positive_or_neutral
age,0.012803100922586698,0.0004761904761904773,0.0008247860988423244,3.4722,16.0,7.0,11.5,positive_or_neutral
cp_1,0.02128012133843151,-0.0011428571428571455,0.0012634761106115838,0.0,11.0,12.0,11.5,negative_or_unstable
slope_1,0.14264154914131305,-0.005809523809523808,0.0065285002253767125,0.0,3.0,20.0,11.5,negative_or_unstable
thalach,0.013068400194132091,-0.000476190476190478,0.00281718084909506,0.0,15.0,10.0,12.5,negative_or_unstable
sex_0,0.016356368880407656,-0.0012380952380952298,0.00710848874549985,0.0,14.0,13.0,13.5,negative_or_unstable
age_thalach_ratio,0.01912486436686392,-0.0024761904761904747,0.008434891362089348,0.0,12.0,15.0,13.5,negative_or_unstable
ca_0,0.07218594483393685,-0.014761904761904754,0.018612896316722232,0.0,5.0,22.0,13.5,negative_or_unstable
cp_2,0.007590855849118,0.0005714285714285728,0.0008728715609439715,4.1667,22.0,6.0,14.0,positive_or_neutral
sex_1,0.012534325913140519,-0.0005714285714285637,0.005873959598136867,0.0,17.0,11.0,14.0,negative_or_unstable
cp_0,0.04055765798878824,-0.01276190476190477,0.016693583706366085,0.0,8.0,21.0,14.5,negative_or_unstable
oldpeak_thalach_ratio,0.06329231178531308,-0.027238095238095228,0.0167044469753666,0.0,6.0,23.0,14.5,negative_or_unstable
bp_age_ratio,0.008786428146542362,0.0,0.0,0.0,21.0,9.0,15.0,positive_or_neutral
trestbps,0.010974350811882229,-0.003333333333333333,0.004582328275702634,0.0,18.0,16.0,17.0,negative_or_unstable
ca_3,0.0,-0.002285714285714288,0.001961072407807047,0.0,23.0,14.0,18.5,negative_or_unstable
