feature,mean_abs_shap,mean_shap,impact_percent
cp_0,0.09688666849434195,0.0005842316379405428,13.7229
ca_0,0.09183632544704201,-0.006104636698938401,13.0076
oldpeak_thalach_ratio,0.0876172481776894,0.0196369975916644,12.41
slope_1,0.03954184704857056,-0.0017435121650846424,5.6007
thal_3,0.03948454524751947,-0.003968771433542592,5.5925
age_thalach_ratio,0.03897197612408541,0.01156332448940523,5.5199
slope_2,0.03888569569382725,0.0007511977881584927,5.5077
thal_2,0.03612213833747279,-0.00011627578940220031,5.1163
sex_0,0.03238925450363694,-0.006764255304972759,4.5876
sex_1,0.028860454283078523,-0.006161497285439992,4.0878
exang_0,0.027826390947253584,0.0032501856798145515,3.9413
trestbps,0.02503703078964202,0.005196472303408911,3.5462
exang_1,0.024208161918180426,0.003284554221239605,3.4288
ca_1,0.02133533018231915,0.0016096449645281537,3.0219
thalach,0.02083216104618057,-0.006173062136174976,2.9506
ca_2,0.019607707829102893,-0.0015211355891339212,2.7772
oldpeak,0.009310059102926139,-0.0016611362896506966,1.3187
chol_age_ratio,0.008343888514181785,-0.0003996065887021943,1.1818
ca_3,0.005881652340709836,-0.0021614579356914808,0.8331
cp_1,0.004797578135212444,0.0004838264622191334,0.6795
age,0.0030538554275657413,0.0005505940545359709,0.4325
cp_2,0.00282895266153648,0.0001940226489968767,0.4007
bp_age_ratio,0.00236278536434548,9.054650548056043e-05,0.3347
