,age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
age,1.0,-0.09496248821055976,-0.0631065856572062,0.2831206789808043,0.20721550565611782,0.11949212756870456,-0.11159006011822421,-0.3952351875534807,0.09321584624212068,0.20603963750076093,-0.16412423366806772,0.3022612096972415,0.06531728846138685,-0.22147582776656236
sex,-0.09496248821055976,1.0,-0.05173952220794346,-0.05764694007290149,-0.19557144490547865,0.046022180812817344,-0.06035050906407738,-0.04643866271229991,0.1434601201307068,0.09832173325423309,-0.032989633074290675,0.11306039137632626,0.21145220080372415,-0.2836093577958624
cp,-0.0631065856572062,-0.05173952220794346,1.0,0.046486424057411185,-0.07268160815675588,0.0960181037888769,0.04156099946879547,0.2933665820060732,-0.3929373743580724,-0.14669224707212536,0.11685419420886568,-0.1953563446710519,-0.16036963435927676,0.4320795915664077
trestbps,0.2831206789808043,-0.05764694007290149,0.046486424057411185,1.0,0.1252562855553674,0.17812469246227944,-0.11536655568205456,-0.04802271203158536,0.06852626475958723,0.1945999503128807,-0.1228729284474141,0.09924834090336443,0.06286958227116794,-0.146268663841554
chol,0.20721550565611782,-0.19557144490547865,-0.07268160815675588,0.1252562855553674,1.0,0.011428296514525534,-0.147601771699766,-0.005308495794754734,0.06409889953538124,0.05008602402373878,0.0004166582932459656,0.08687793662520929,0.09681044601826974,-0.08143720051844143
fbs,0.11949212756870456,0.046022180812817344,0.0960181037888769,0.17812469246227944,0.011428296514525534,1.0,-0.08308108054367724,-0.007169289834638287,0.02472879278445972,0.004514274973532789,-0.058653541394914535,0.14493474913217877,-0.032752381373047305,-0.026825970565970223
restecg,-0.11159006011822421,-0.06035050906407738,0.04156099946879547,-0.11536655568205456,-0.147601771699766,-0.08308108054367724,1.0,0.041209808262859755,-0.06880655307680547,-0.05625071359525567,0.09040215246954529,-0.0831124432864303,-0.010473170948873081,0.13487444702864626
thalach,-0.3952351875534807,-0.04643866271229991,0.2933665820060732,-0.04802271203158536,-0.005308495794754734,-0.007169289834638287,0.041209808262859755,1.0,-0.3774114488412378,-0.3422007459247006,0.38475438059767747,-0.22831108288545537,-0.09490993600291653,0.41995504366386993
exang,0.09321584624212068,0.1434601201307068,-0.3929373743580724,0.06852626475958723,0.06409889953538124,0.02472879278445972,-0.06880655307680547,-0.3774114488412378,1.0,0.2867663364924336,-0.2561062438300407,0.12537710176350617,0.2058256598363507,-0.43560076171361906
oldpeak,0.20603963750076093,0.09832173325423309,-0.14669224707212536,0.1945999503128807,0.05008602402373878,0.004514274973532789,-0.05625071359525567,-0.3422007459247006,0.2867663364924336,1.0,-0.5763143815309939,0.23656044177478672,0.20909049090040535,-0.4291458328867385
slope,-0.16412423366806772,-0.032989633074290675,0.11685419420886568,-0.1228729284474141,0.0004166582932459656,-0.058653541394914535,0.09040215246954529,0.38475438059767747,-0.2561062438300407,-0.5763143815309939,1.0,-0.09223636675937125,-0.10331366531177807,0.3439395324893872
ca,0.3022612096972415,0.11306039137632626,-0.1953563446710519,0.09924834090336443,0.08687793662520929,0.14493474913217877,-0.0831124432864303,-0.22831108288545537,0.12537710176350617,0.23656044177478672,-0.09223636675937125,1.0,0.1600854283264373,-0.40899197975692675
thal,0.06531728846138685,0.21145220080372415,-0.16036963435927676,0.06286958227116794,0.09681044601826974,-0.032752381373047305,-0.010473170948873081,-0.09490993600291653,0.2058256598363507,0.20909049090040535,-0.10331366531177807,0.1600854283264373,1.0,-0.34310071238956474
target,-0.22147582776656236,-0.2836093577958624,0.4320795915664077,-0.146268663841554,-0.08143720051844143,-0.026825970565970223,0.13487444702864626,0.41995504366386993,-0.43560076171361906,-0.4291458328867385,0.3439395324893872,-0.40899197975692675,-0.34310071238956474,1.0
