,count,mean,std,min,25%,50%,75%,max
age,302.0,54.420529801324506,9.047969746247457,29.0,48.0,55.5,61.0,77.0
sex,302.0,0.6821192052980133,0.46642573806726434,0.0,0.0,1.0,1.0,1.0
cp,302.0,0.9635761589403974,1.0320436419542316,0.0,0.0,1.0,2.0,3.0
trestbps,302.0,131.60264900662253,17.56339423003756,94.0,120.0,130.0,140.0,200.0
chol,302.0,246.5,51.75348865574056,126.0,211.0,240.5,274.75,564.0
fbs,302.0,0.1490066225165563,0.3566860293648133,0.0,0.0,0.0,0.0,1.0
restecg,302.0,0.5264900662251656,0.5260271694099752,0.0,0.0,1.0,1.0,2.0
thalach,302.0,149.56953642384107,22.903527251969845,71.0,133.25,152.5,166.0,202.0
exang,302.0,0.32781456953642385,0.47019596400976954,0.0,0.0,0.0,1.0,1.0
oldpeak,302.0,1.0430463576158941,1.1614522890634562,0.0,0.0,0.8,1.6,6.2
slope,302.0,1.3973509933774835,0.6162739844441468,0.0,1.0,1.0,2.0,2.0
ca,302.0,0.7185430463576159,1.0067482586428396,0.0,0.0,0.0,1.0,4.0
thal,302.0,2.314569536423841,0.6130255397814752,0.0,2.0,2.0,3.0,3.0
target,302.0,0.543046357615894,0.49897035961141234,0.0,0.0,1.0,1.0,1.0
