feature,correlation_with_target,absolute_correlation
exang,-0.43560076171361906,0.43560076171361906
cp,0.4320795915664077,0.4320795915664077
oldpeak,-0.4291458328867385,0.4291458328867385
thalach,0.41995504366386993,0.41995504366386993
ca,-0.40899197975692675,0.40899197975692675
slope,0.3439395324893872,0.3439395324893872
thal,-0.34310071238956474,0.34310071238956474
sex,-0.2836093577958624,0.2836093577958624
age,-0.22147582776656236,0.22147582776656236
trestbps,-0.146268663841554,0.146268663841554
restecg,0.13487444702864626,0.13487444702864626
chol,-0.08143720051844143,0.08143720051844143
fbs,-0.026825970565970223,0.026825970565970223
